2022-04-17 00:20:40,018 INFO    MainThread:79095 [wandb_setup.py:_flush():75] Loading settings from /Users/viveksavita/.config/wandb/settings
2022-04-17 00:20:40,019 INFO    MainThread:79095 [wandb_setup.py:_flush():75] Loading settings from /Users/viveksavita/nd0821-c2-build-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/settings
2022-04-17 00:20:40,019 INFO    MainThread:79095 [wandb_setup.py:_flush():75] Loading settings from environment variables: {'start_method': 'thread'}
2022-04-17 00:20:40,019 INFO    MainThread:79095 [wandb_setup.py:_flush():75] Inferring run settings from compute environment: {'program_relpath': 'lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/upload_artifact.py', 'program': 'upload_artifact.py'}
2022-04-17 00:20:40,019 INFO    MainThread:79095 [wandb_init.py:_log_setup():438] Logging user logs to /Users/viveksavita/nd0821-c2-build-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/run-20220417_002040-q40ol6l1/logs/debug.log
2022-04-17 00:20:40,019 INFO    MainThread:79095 [wandb_init.py:_log_setup():439] Logging internal logs to /Users/viveksavita/nd0821-c2-build-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/run-20220417_002040-q40ol6l1/logs/debug-internal.log
2022-04-17 00:20:40,019 INFO    MainThread:79095 [wandb_init.py:init():472] calling init triggers
2022-04-17 00:20:40,019 INFO    MainThread:79095 [wandb_init.py:init():475] wandb.init called with sweep_config: {}
config: {}
2022-04-17 00:20:40,019 INFO    MainThread:79095 [wandb_init.py:init():525] starting backend
2022-04-17 00:20:40,044 INFO    MainThread:79095 [backend.py:ensure_launched():219] starting backend process...
2022-04-17 00:20:40,046 INFO    MainThread:79095 [backend.py:ensure_launched():224] started backend process with pid: 0
2022-04-17 00:20:40,046 INFO    BackendThr:79095 [internal.py:wandb_internal():92] W&B internal server running at pid: 79095, started at: 2022-04-17 00:20:40.045741
2022-04-17 00:20:40,047 INFO    MainThread:79095 [wandb_init.py:init():534] backend started and connected
2022-04-17 00:20:40,053 INFO    MainThread:79095 [wandb_init.py:init():598] updated telemetry
2022-04-17 00:20:40,055 INFO    WriterThread:79095 [datastore.py:open_for_write():77] open: /Users/viveksavita/nd0821-c2-build-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/run-20220417_002040-q40ol6l1/run-q40ol6l1.wandb
2022-04-17 00:20:40,084 INFO    MainThread:79095 [wandb_init.py:init():629] communicating run to backend with 30 second timeout
2022-04-17 00:20:40,280 INFO    MainThread:79095 [wandb_run.py:_on_init():1922] communicating current version
2022-04-17 00:20:40,291 INFO    SenderThread:79095 [dir_watcher.py:__init__():169] watching files in: /Users/viveksavita/nd0821-c2-build-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/run-20220417_002040-q40ol6l1/files
2022-04-17 00:20:40,291 INFO    SenderThread:79095 [sender.py:_start_run_threads():812] run started: q40ol6l1 with start time 1650151240
2022-04-17 00:20:40,291 INFO    SenderThread:79095 [sender.py:_save_file():947] saving file wandb-summary.json with policy end
2022-04-17 00:20:40,380 INFO    MainThread:79095 [wandb_run.py:_on_init():1926] got version response 
2022-04-17 00:20:40,380 INFO    MainThread:79095 [wandb_init.py:init():660] starting run threads in backend
